,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_1-5,716_E3_10-14,716_E3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
711_E-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-1-M,1.48712120795465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-1-D,0.195473451674633,0.403439204871453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-2-S,-1.4603463986204,-1.09161495290457,0.159378342062307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-2-M,-0.0427646550340932,0.159235339483567,0.465790084150774,-0.760997527520563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-2-D,2.67755905559582,1.87205691596441,1.09653105606284,-0.402632289266949,0.644255033984188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-3-S,1.50968965466406,0.819609764736169,0.0350001020076167,-1.49838335198573,0.264886906649075,1.6425971031261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-3-M,0.189003793321047,0.924566425555307,0.397143818222362,-1.49507313040679,0.0204797058802381,1.10301856342834,0.946183971270977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-3-D,1.82579883120963,0.64676862902803,0.64481959199973,-0.922911986633819,0.3169064736191,1.03060221933966,1.51217466324791,1.47965670314954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-1-M,-0.75962792692948,0.187709176779066,0.714877390563339,1.48951340168427,1.90800426530512,0.244568817759433,0.239676839243045,1.79202654963454,0.725821225970464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-1-D,-0.51082896147957,0.00674079619070189,1.16457614278263,-0.527066770476186,-0.314199909609221,0.362258077010444,-0.648582703040825,0.0560111781377899,0.491299488135975,1.23599479124758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-S,-0.123370265512536,0.550366360391968,0.698381612094082,-0.41233432396959,0.463973110131204,1.43115831096422,-0.607027299678293,0.08852017004563,0.670650525498806,1.88050391294125,-0.757640112419254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-M,0.239299989145604,0.611043721351356,0.587277334222244,-1.63344617433893,-0.0637025984201505,1.57629523100048,-0.168892715736063,0.235768633080754,0.791091087999302,1.66874902116057,-0.451474506353002,1.54427493154285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
