"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-2-S" "712_P-2-M" "712_P-3-S" "712_P-3-M" "713_P-3-M" "714_P3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"Palsa.Labelled.R3.T1.F3.trimmomatic.megahit_bin.10_90.51_2.85" 0 0 0 0 4.554163 0.35985354 0 0 0 0 0 0 0 0 0 0 0 0.4778949 0.17520618 0.07153406 0.17278431 0 0.30186716 1.7539384 0.08252594 0 0.16228482 0.4745394 0.38685963 0 0 0 0.11662614 0 0 0 0 0 0 0.08299523 0.18251152 0
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.84_95.68_9.76" 0.2330364 0 0 0 0.07402898 0 0 1.1722587 0 0.25735343 0 0.07449302 0 0 0 0.39252687 0.114413396 0 0 0 0 0 0.34158176 0 0 0 1.2032015 0.3054857 0 0 0 0 0.092646815 0 0 0 0 0.0715516 0 1.1080964 0 0
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.99_87.92_0.00" 0 0 0 0 0 0.2061078 0 0.08375564 0.11673558 0 0 0 0 0 0 0 0.8718142 0.16992362 0 0 0.072423205 0 0 0 0 0 0.71154463 0 0 0 0 0.06135192 1.1056064 0 0 0.19585432 0 0 0 0.8230981 0 0.09756706
"20110600_P3S_14" 0.537312 0 0 0 1.2095835 0 0 0.9442416 0 0.2588178 0 0.13330053 0 0 0 0.3020271 0 0 0 0.16492793 0 0 0.63880646 0 0 0 0.5837654 0.176561 0.37738755 0.13681823 0 0 0.0779299 0 0 0 0 0 0 1.2983404 0 0
"PMSV01" 41.37194 0 1.9314106 0 0 0 0 4.0149918 0 0 0 5.485389 0 2.0465248 0 0 0 0 0 2.5028758 0.4485255 0 3.6877618 1.3615252 0 0 0.06698777 0.28837875 2.1190324 0.79054624 0 0 0.29994264 0 0 0.09758622 0 1.765945 0 0.14819251 0.92041194 0
"Palsa.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.54_94.98_2.76" 2.7275143 0 0 0 1.6889199 0 0 4.3034716 0 0.7546147 0.4287461 0.11900821 0 0 0 0.13282949 0 0 0.21925656 0.20094761 0.19228859 0 0.8963022 0 0 0 2.2130215 0.11788705 1.9650427 0.14344233 0 0.056046344 1.490133 0 0 0 0 0 0 2.4098175 0.16815576 0
"Palsa.Labelled.R2.T3.F1.trimmomatic.metaspades_bin.31_87.45_2.00" 2.2845728 0 0.2083565 0 0.5203032 0 0 0.8182086 0.11299873 1.9769884 0 0.8187385 0.12793764 0 0 1.0854545 0.058765896 0 0 0.15290317 0 0 1.0888377 0.86976546 0 0 0.84229267 0.46789175 0.3893515 0.21120948 0 0 0.15803638 0 0 0 0 0 0 0.4995278 0 0
"Palsa.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.230_94.04_2.71" 0.54946125 0 0.10852978 0 0.5833499 0 0 0 0 0.068427056 0 0.5307171 0 0 0 0 0 0 0 0.20417225 0 0 0.1973666 0 0 0 0.8508722 0.66046405 0.31061548 0 0 0 0.066615425 0 0 0 0 0 0 2.5916476 0 0
"20110700_P1S_12" 19.602362 0 0 0 2.3368132 0 0 1.2458781 0 0.59224236 0 1.2465202 0 0.060352605 0 0 0 0 0 0.13116515 0 0 2.456991 0 0 0 1.8586951 0.09101143 0.31632453 0 0 0 0.2528893 0 0 0 0 0 0 1.2222064 0 0
"Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.50_88.06_3.48" 0 0 0 0 1.3993787 0 0 0.52799237 0 0.068274505 0 0 0 0.4002213 0 0 0 0 0 1.5184468 0.095303714 0 7.75359 0.15652604 0 0 0.22076905 0.13781038 2.3217611 0.18369688 0 0 1.6498846 0 0 0 0 0 0 5.4742045 0.48318285 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.210_73.18_6.21" 0.23376015 0 0.071043886 0 0.9782682 0 0 1.265612 0 1.6594558 0 0.34000915 0 0 0 0.45204544 0 0.188528 0 0.42544672 0 0 0.8558485 0.25843024 0 0 0.7193275 0.09802687 0.09069177 0 0 0 0 0 0 0 0 0.058927476 0 1.1432127 0 0
"Palsa.Labelled.R3.T3.F3.trimmomatic.megahit_bin.132_78.35_6.03" 1.2719315 0 1.9275475 0 0.48562807 0 0 1.4958892 0 0.57847315 0 0.09577016 0 0 0 0.8817145 0 0 0 0.2804871 0 0 0.41758353 0 0 0 0.35244375 0.6753193 0 0 0 0 0.115293674 0 0 0 0 0 0 0.2018546 0 0
"20111000_P1S_6" 1.7436259 0 0.092326395 0 0.5000578 0 0 1.9030905 0 0.80765814 0 0.057826214 0 0 0 0.3335132 0 0 0 0.118230544 0 0 0.3237841 0 0 0 2.1662483 0.47790456 0 0 0 0 0.101509154 0 0 0 0 0 0 1.7591299 0 0
"Palsa.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.96_80.51_1.15" 3.824793 0.07431796 3.9258318 0 3.8180237 0.06596504 0 5.082888 0 1.9250065 0 0.9083349 0 0 0 1.8810847 0.116018064 0.06016111 0 1.3413792 0.4261112 0 6.4256306 0 0 0 2.8250058 0.09174436 2.4924164 0.29847962 0 0 1.1252755 0 0 0.48221672 0 0.6922063 0 2.852456 0.16804112 0
"20111000_P1S_2" 1.2654848 0 0.16758685 0 2.0786247 0 0 2.601016 0 0.22655366 0 0.1895125 0 0 0 0.46157134 0 0 0 0.77473986 0 0 1.1534482 0 0 0 2.4826283 0.21428764 2.2237887 0 0 0 0.40167114 0 0 0 0 0 0 10.100684 0.20804012 0
"20111000_P1S_1" 0 0 0.1148934 0 2.501988 0.3098718 0 3.639903 0.07272181 0 0.20079704 0.39882323 0 0.18916075 0 0 0 0 0.2750425 1.5107877 1.2584451 0 0.17907323 0 0 0 0.5897804 1.1071866 2.90586 0.58993334 0 0.057864662 2.5641944 0.08544614 0 0 0 0.20580313 0 9.800643 3.4802575 0
"20110700_P1S_2" 9.996033 0.18861143 0.48623234 0 0.6966488 0.33253583 0.29820037 1.2396594 0.5893412 3.4586072 1.3122346 1.3300374 1.7231866 0.12076619 0 0.9439257 0 0.09693191 2.2962365 1.9123814 1.4118099 0 3.2952263 0.06296873 0.5486048 0 2.0324385 2.711462 2.3836732 0.1381486 0 1.8442225 2.4886482 0.47075316 0 0.46122673 0 0.6952687 0 3.972402 0.91387 1.0654832
"20150700_S23_11" 0.7729219 0 0 0 0.58057904 0 0 0.32639125 0.1576999 0.48134837 0 0 0 0 0 0.37843254 0 0 0 0.25519708 0 0 0 0 0 0 0.5638449 0.16128582 0 0 0 0 0.11050281 0 0 0 0 0 0 0.57656765 0.33942127 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.238_96.77_6.03" 3.8111162 0 0.7877031 0 0.064824454 0 0 4.2965865 0 2.5661802 0 0.700539 0 0 0 4.734789 1.8670518 0.6388981 0 0.38531494 0.06372177 0 5.427412 2.7143846 0.1206966 0 1.6135826 2.1512477 0.0635852 0.29111528 0 0 0.6989037 0 0 0.09050916 0 0.5698001 0 1.5613213 0.38423398 0
"Palsa.Labelled.R2.T3.F2.trimmomatic.megahit_bin.45_76.68_4.31" 0.5780207 0 0.13685343 0 0.09341108 0 0 0.07079879 0 0.35302886 0 0.06345918 0 0 0 0.24464728 0.061348226 0 0 0 0 0 0.07090746 0 0 0 0.23383197 0.15197337 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.267_77.18_5.22" 0 0 0.5996456 0 0.48552525 0 0 2.3124065 0 0.625714 0 0.10278997 0 0 0 0 0 0 0 0.56156456 0 0 2.575807 0.10668872 0 0 1.9556487 0.07390133 0.48114637 0.11557198 0 0 0.08468011 0 0 0 0 0.22136886 0 2.6919248 0.076481126 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.14_80.71_5.34" 3.2953825 0 0.4956366 0 5.6403728 0 0 4.8016295 0 1.4227774 0.0659551 2.4100277 0 0 0 0.22400631 0 0 0 0.578522 0 0 0.18827526 0 0 0 3.984468 0 0.16715482 0 0 0 0 0 0 0 0 0 0 0.47145507 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.190_90.54_5.98" 0 0 0.5981344 0 0.12399273 0 0 4.929902 0 8.889369 0.116646886 0.20177054 0 0 0 0.36909747 0 0 0 0.9097264 0 0 7.0316052 3.9171777 0 0 1.095622 0.31435734 0.24464113 0 0 0 0.09828515 0 0 0 0 1.7905891 0 0.47374332 0 0
"20111000_P2S_1" 2.5657556 0.5951866 1.1960272 0 18.039864 0 0 23.152561 0 8.3315735 0.6246156 0.60734206 0.27016225 0 0 0.9515581 0 0 0 6.5777297 0.13278711 0 0.65152925 0.20054226 0.17575859 0 15.366958 6.6866837 3.9594207 0.19232263 0 0 2.9848952 0 0 0.16165827 0 0.12039638 0 24.829329 3.22507 0
